text_final,sentiment
saya sangka proses aju pinjam mudah waktu butuh dana desak perlu keluarga menit isi data telah proses verifikasi super cepat menit dana masuk rekening bayar fleksibel mudah,positif
fermuk wajah ktp cahaya terang buset sinyal kuat gagal masuk apk dana belum kendala sy kemarin sulit login aplikasi dana gampang terus gimana solusi gimana sy kemaren complain solusi nihil kasih solusi tp tetep gak login sy transaksi dana susah saldo sy jg dana sekarang sulit utk login,negatif
aplikasi kecewa akun proteksi transaksi saat genting saldo tunggu hari instal instal pakek aplikasi kecewa,positif
bagus sih isi coin tiktok bayar dana ya kena limit bgitu pdhal transaksi dana aplikasi bayar tolak ya,positif
aplikasi dana bantu hidup hari tampil bagus mudah paham guna proses transaksi transfer bayar tagih beli pulsa listrik cepat tampa ribet,positif
diupdate error aplikasi jaring bagus masuk aplikasi tulis koneksi putus nih pakai wifi tolong baik aplikasi guna kecewa,negatif
bug lambat sinyal bagus aplikasi nya patah patah update rutin ngaruh pelihara akun error cek transaksi kirim uang nomor handphone,netral
tolong dana layan tingkat no handphone yg daftar tolak akses kirim terima transfer orang yg salah pencet salah no handphone lapor transfer sukses no dana yg kadang salah daftar ganti no handphone nya tolong ya dana,netral
aplikasi nya dah bagus tolong kasih bonus iklan saldo main tonton aplikasi cair dana tolong pakai dana premium biar makan lapar cari kerja susah tuju respon komen ku iya,positif
dana salah apk ewallet milik sistem aman bobrok suda kali alami transaksi kenal transaksi tuju pin terkadang top up dana simpan nomimal pindah transaksi kenal aneh dana melempaekan solusi,negatif
sangat buruk fitur dana instan yang bagi akun premium ini hubung ana email respon luar gajelas oee developer tolong perbai rusa ini tidak nyaman,negatif
saya kecewa dana baru isi saldo pakai bayar online muncul limit error aneh isi pulsa sistem konsisten bahkan transaksi ribu gagal limit sangat ganggu bikin ribet transaksi cepat moga sistem limit deteksi transaksi baik random guna,negatif
baik lot aplikasi buka lot scroll lot udah keluh gak papa butuh memori buka transaksi lot kali tegur langgan karna transaksi baik,netral
maksud gimana ga langgan aplikasi langgan pas transaksi temen saldo habis gara gara gimana tuh otomatis langgan aneh ya emang hubung google play store gitu bayar otomatis tagih otomatis parah emang ni aplikasi ga aman gue aja ga ngerasa langgan aplikasi dana parahhhhhhhh,negatif
apk bagus cuman celah retas bajak trutama akun dana yg login hp yg gaperlu scan wajah tau pin sandi langsung masuk harus nya logout akun hp yg pas masuk scan wajah otp no tlpn login akun pertamakali scan wajah sandi logout trus login kmbali hp yg tidah chan wajah kode otp no tlp masuk pin login,positif
kecewa berat proses ganti nomor hp premium sudah sistem online susah dana sepele asumsi aman akun guna ini nama dana langsung sebut guna aman sangat layak bintang,negatif
alami dana instant error aju ulang lancar bantu kendala pusat ana bantu lapor kait error nya dana instant atas jalan error,netral
dana cicil limit ribu beli kuota karna posisi urgent ga kepake tulis sedia chat ana ga bantu jelas nda bsa pake enak tuh kalo pake pas lg posisi urgent aneh emg,negatif
saya beli paket data dana ga masuk h pas sms masuk cek bima ga kuota masuk layan nya jelek banget ga kasih kompensasi kalo kaya gin rugi rb sungguh kecewa tidak akan saya beli paket data atau pulsa lagi di apk dana tolong ikan saya kompensasi uang kembali,negatif
aplikasi dana kesini layan milik akun dana lapor kait yg akun dana upgrade ulang ulang nama profil akun premium lapor pusat bantu atas suruh tunggu hari e walet masalah layan milik akun,negatif
parah upgrade pas udah masukin data malah verifikasi nya banget dokumen cek urgent transaksi kirim uang sumpah kecewa banget nya udah antisipasi kalo aplikasi nya udah lumayan penguna nya fikirin penguna nya kasi kalo hambat gara gara upgrade kaya gin butuh desak urgent,negatif
app dana dompet digital indonesia e wallet memang sangat bagus tampil menu juga transaksi lengkap muda aman percaya tapi jaring transaksi uang kirim terima ganggu masalah jam,positif
aplikasi gajelas top up flazz dri dana masuk potong hadeh udh lapor cs nya si ana tpi responnya muter muter bantu aplikasi kikir bantu minimal refund saldo,negatif
sementara kasih bintang soal riwayat transaksi gak buka pas transaksi jadi nunjukin bukti transaksi gak malu apalagi bukti transaksi riwayat transaksi gak buka sebal,negatif
tolong baik potong saldo otomatis tuju bayar item google play saldo potong refund tolak dana tanggung saldo dana milik bayar pasu pin potong otomatis tahu aktif otentikasi biar lalu bayar pasu pin jebol potong otomatis tolong refund saldo,negatif
limit dana cicil transaksi pakai qris ya vermuk langsung tampil pesan transaksi hasil pdahal akun premium sesuai syarat transaksi bayar pkai dana maaf turunin bintang krn dana cicil tdk pakai terima kasih,netral
sudah tahun pakai dana kecewa berat saya tarik saldo fitur dana plus rekening bri tanggal mei jam wib nila rp di aplikasi tulis sukses hasil nyata sudah lebih dari hari uang tidak pernah masuk ke rekening saya saya cek mutasi kali kali kosong padahal nomor rekening ambil langsung aplikasi brimo milik salah ketik,negatif
aplikasi guna sayang akun fitur dana instan transaksi bulan juta bulan aplikasi instan muas depan tolong kasih fitur dana instan akun ku,positif
atur baru susah paksa customer deposit x kena admin top up x bagus kerja maulai turun aset investasi gantung skrg gk nyaman fitur bi fast nomor sdh rekening bank tranfer error sdh daftar rekening dana paksa fitur matang hasil nya jelek,negatif
buruk login tngin kode otp sms gk loading no telp aktif pakai tolong mudah kode otp sms,negatif
dana lot siang top up dana notifikasi nya masuk uang nya nominal nya tambah tolong baik pas masuk dana nya kendala login akun dana,netral
awal emang kendala coba login delev responsif kendala terimakasih kendala bintang aman maka bintang thanks,positif
aplikasi yng bagus pas login akun ku jaring mulu akun ku udah smuanya jaring masalah pas login akun ku tolong baik aplikasi nya ya cepat login akun ku,netral
kecewa aplikasi aplikasi mudah hack saldo sy hilang x lapor follow up ulang gilir follow up tunggu antri lain gilir tagih antri tindak saldo tanya ulang customer service bantu sistem aman ragu mudah retas,negatif
transaksi tahu notif transaksi selesai cek play store anggar riwayat aju refund resah kecewa uang tinggal k beli makan tinggal k itu klo lingkung keluarga masalah keluarga orang peduli,negatif
lebih limit transaksi sedia jasa tulis nongol masukin nominal cuman kirim juta kirim juta ga ya,negatif
gak login ya udah hp coba tetep gak udah ganti nomor coba login tetep gak muncul tulis ups kendala coba sambung data seluler wifi,negatif
baik apl nya kirim uang dana no rekening saldo dana potong rekening tuju blm masuk uang nya tdk solusi nya apl dana palu cs nya aplikasi yg kurang bagus unt,negatif
limit dana cicil bisa padahal walaupun telat ada tunggak dan saya tunggu bulan tetap di susah untuk lapor tidak ada respon dari email dan akun sosial media lain nya,negatif
mengapa aju fitur dana cicil suruh tunggu kali costumer service jawab aplikasi dana tahun tolong butuh fitur desak habis kuota pulsa token listrik,negatif
aplikasi dana bantu hidup hari tampil sederhana mudah paham guna proses transaksi transfer bayar tagih beli pulsa cepat ribet unggul dana banyak promo cashback tarik guna hemat selain aman akun jamin fitur pin verifikasi tambah,positif
mana saldo kirim uang terima terima cek bukti mada ganggu cek riwayat kosong saldo solusi menu bantu yg chat otomatis buah hasil,negatif
tolong devoliver dana nunggu jam tapi gak tf uang tf uang pemberitahuan yah orang transaksi coba menit ya nunggu jam gak tf uang devoliver dana tolong perhati,negatif
bener bner ngga aman login perangkat pakai fitur lupa pin tuju perangkat percaya d hapus perangkat nya pakai proteksi extra ngga ngaruh tolong,negatif
akun dana alami baja hp alami transaksi pin nya ganti si bajak lapor diamacs dana tele tele urus lapor fyi kali dana masalah saran lindung aman dana ketat urus ganti pin tiap akun mesti step aman,negatif
sekarang apk berat buka apk lancar gilir buka dana loadingnya jadi gagal transaksi aplikasi saldo potong kirim terima tidak lapor aktivitas saldo ngga hilang,negatif
login hp kerestat ganti hp kirim otp email email cantum simpan penuh kirim sms whatsapp mohon baik,negatif
susah banget upgrade premium nmer aktif bln yg gilir ganti nmer mkin ruwet verifikasi wajah n kirim otp aja top up transaksi susah klu kyak gin tolong fast respons biar senang guna dana kasih solusi yang bagus tanpa ribet,negatif
layan aplikasi dana bisnis sy cair saldo ngendap disnaa alas verifikasi wajah sy hubung ana informasi lanjut gimana sy nunggu sampe tarik sebell banget,negatif
dana s k program bug dulu bug aplikasi update gk update bug kupon a kupon deals yg beli gak pakai kupon potong harga kupon a kupon pulsa kupon listrik kupon retail yg diskon langsung bayar cuma kupon toped alfa indomaret yg muncul kode masuk manual aman beli,netral
aplikasi dana bantu hidup hari tampil sederhana mudah paham aplikasi dana rekomendde sayang keluh akun dana cicil limidnya mohon cs bantu dana cicil kasih bintang janji akun dana cicil tambah bintang terimah kasih,positif
not recommen jelek banget situ beli kuota rb pas bayar rb tulis pas selesai bayar kuras dana rb udh laporin bantu tetep aja ga terima bantu bikin binggung ga andelin nanya aplikasi tipu download jadi ini ga sekali dua kali tolong kembali saldo,negatif
apknya bagus dana fiz nonaktif aktif verif wajah saya aju pemberitahuan costumer service tanggap guna atas tolong,netral
beli kuota bayar saldo dana kurang eh masuk tagih dana cicil tagih tambah aneh banget nyari untung nya udah bayar d hitung utang nominal yg receh tolong amanah,negatif
mudah transaksi sedia bnyak merchant nya dana cicil nya limit nya dikit sulit pakai kadang kadang engga bayar jatuh tempo nya mudah ya naikin limit nya,positif
akun hubung otomatis marchant toko dia hapus dana aplikasi tokopedia hubung otomatis udah hapus akun sambung dana kasih bintang,negatif
sih bagus yaa kalo bayar pake qris qris nya suka gabisa saldo jaring stabil kadang tulis maaf fitur knp ya gimana ngatasinnya terimakasih,positif
suka make apk dana transaksi bank tolong yah isi data beli data data pake sebentar beli gb jam habis hp rincian guna data situ tulis pakai mb habis beli gb duh gimana nih dana x masalah gin dah bantu bantu,netral
kak uda coba masuk dana uda masukin nomer habis loading apk nya tulis dana henti situ uda coba tetep ajaa uda ulang kali sampe unistal dana trs download sampe ulang kali tetep kya gitu hp satu aman aja lancar banget pas masuk hp kendala masuk tulis dana henti,negatif
harap fitur kelola uang hari maksud user simpan uang jt buah fitur atur uang nya yg rb hari hari user rb yg simpan simpan verifikasi wajah apa user tarik uang nya harap developer erti yg harap terimakasih,positif
sangat kecewa kenapa fitur dana cicil dana instan rutin ber transaksi aplikasi tolong muncul fitur dana cicil dana instan akun tolong muncul fitur dana isntan dana cicil saya sangat kecewa,negatif
aplikasi oke tpi banget ganggu update jaring full cepat gilir pilih riwayat transfer banget eror sial tolong apk dana baik kalo jagn sampe ulang keseringen eror cek history transfer gk buka loading trus pdahal jaring g full no leg apk tolong bantu dana slesaikan cepat,netral
beli kedai jam malam bayar error tulis coba maklum maintenance server besok jam malam jam ganggu untung kedai balikin makan warung macam bayar pakai pegang uang cash inti baik naikin bintang,negatif
aplikasi aneh dana cicil lunas tunggak limit sedia aneh solusi tolong baik dana cicil,negatif
masuk sandi verifikasi wajah kode otp nomor aktif trus otp email email daftar otp beda aneh aplikasi boot sesuai,negatif
manurut aplikasi nya lumayan bagus guna kendala top up game error tolak untung nya fitur tukar voucher goggle play mudah top up game nya moga update bagus canggih kurang error beli,positif
sih bagus ya mudah tp ko skrg turun kualitas bayar pake qris klo aplikasi nya lanjur tutup ga klik detail transaksi hilang bukti bayar cek aktivitas update nya ga muncul skrg adminnya ko ya transfer qris admin nya transfer rp yg hari transaksi kali sih lumayan ya,netral
aplikasi nya bagus oke mins nya banggan dana otomatis sedot duit sesuai harga tentu tolong tingkat duit langsung sedot langgan dana karna aju refund balesannya tolong cepat dana aju,positif
seta update layan sistem buruk jaring lancar scroll video scan barcode kendala jaring fitur sedia refresh hp pengaruh tolong tindak tepat sistem nya,negatif
agak ribet limitasi payment upgrade premium transaksi premium lanjur topup saldo limitasi transaksi saran limitasi limitasi upgrade premium langsung urgent coy diskon steam wallet limitasi ya allah,negatif
udh lumayan pake dana kmrn temen akun nya retas coba hubungin ig dana nya trus suruh kirim nomer email bukti transaksi ulang yg hilang nya lacak sampe ngga responnn kecewa banget respon nya yg lambattttt,negatif
login akun sulit yah pindah akun perangkat perangkat satu kena musibah jatuh pecah login perangkat sandi verifikasi wajah centang biru arti valid izin perangkat lcdnya rusak pecah erti fungsi verifikasi wajah kalo masuk izin perangkat rusak,negatif
dana bagus ukur aplikasi kali update ga guna dana hp nya bagus ram memori hp nya kaya hp kentang kaya ya lot dana nya hap,positif
aplikasi dana emang baik transfer uang kirim saldo kembali kompensasi terimakasih dana tolong aktif dana instan dana akun premium fitur dana instan muncul,positif
bilang akses email lupa cs dana saran kirim kode otp ganti limit otp kirim kode otp via email opsi nama opsi kasih solusi,netral
fitur bagus biasa yg fitur dana cicil sudh lunas jatuh tempo sedia fitur saldo nya klo ga donk jaga akreditasi bayar fitur ga pakai lg,positif
login engga otp kirim email engga pilih sms wa email nya udah engga aktif engga login tolong pusat bantu engga nyusahin,negatif
lumayan bagus apalikasi bilang lancar sayang tolong tambah fitur notifikasi suara uang nominal masuk gak trus mantengin layar hp suara notifikasi enak gak cek pantengin hp trus trimkasih inovasi sukses,netral
baru aplikasi kalo salah transfer mo udah mati gak cancel usaha dana gak tarik saldo masuk no tlp tuju mati rugi guna setia kecewa banget bagus uninstal rame gak mutu,negatif
turun bintang lunas dana cicil cepat target diskon limit malu cofee shop resto waralaba coba recomended,positif
tolong min dana upgrade premium pas bikin akun bisnis upgrade premium pas tekan upgrade muncul dana premium pas bikin suruh upgrade gitu mutar mutar tolong,positif
masih udah coba hapus chache hapus data reinstall aplikasi froce close cuman pasrah tunggu update moga kali kali update tunggu buka kali buka versi pas update diupdate baru froce close aplikasi henti sulit login semangat developer update baru,positif
susah kali hubungin costumer service dana jls akun dana hilang gak buka karna nomor hilang beku gak masuk masuk sandi verifikasi wajah kelen suruh daftar lol gimna daftarin nomor hilang beku saldo,negatif
kecewa banget afk nya udah vermuk sandi tau ttp ga masuk gara no uda ga aktif sandi ama vermuk langsunh masuk sengaja banget masuk sulit isi saldo lumayan ga,negatif
pencet kirim saldo tampil loading lamaaa error kirim jaring bagus pas masuk refresh forceclose anehh tolong baik bug,positif
ya allah nang kirim bank seabank co shopee tulis kendala bank tuju khawatir coba coba gabisa udah restart hp hapus cache paksa henti sampe uninstall gabisa gimana iya pesan ku dibatalin kl gabisa kirim gin gimana coba pusing bgt liat tutor yt blg tunggu jeda jam kl emang jam ga ubah kecewa bgt sih dana,negatif
aplikasi ga mutu saldo lenyap jelas brtanya dgn cstmernya sia sia mudah retas download sih aman aja dipake tapi aplikasi ga beres kecewa maaf nilai bntang aja sdh dan mohon kembang tingkat aman,negatif
layan dana cicil ga aktivasi kalo emang penuh syarat kasih limit saldo g coba ngehubungi mpo ana suruh hubung customer service bawa muter kaya ngasih cicil gede aja ribet,positif
apk dana mudah retas gimana yg hilang uang aplikasi akibat transaksi yg tahu milik hilang hilang k si aplikasi dana yg gak coba komen ygengalami,negatif
tolong hapus voucher dana deals voucher mlbb beli nya bayar warung saldo kurang main mlbb beli otomatis tolong kembali saldo karna butuh,negatif
apk apk dana yg minim keluh nada notifikasi ganti nada kencengin volume suara jd ga dengar ku yg berisik transaksi satset baik keren,positif
udah muak kasih bintang fitur qris gimik gagal transaksi malam dana cicil engg pakek pakai fitur smartpay gimik jg gak scan qris malam manual engg hapus data customer service nya bot ai tolol gimana bantu customer update playstore kalo problem aja gak cus udah uninstall aja ganti ewalet,negatif
apk nya bagus tpi erorr tolong baik karna uang bahaya nya klo belanja apknya erorr gimana coba apk busuk klo scan gk yg bikin gk mikir baik jng bikin apk doang dana duit bayar,negatif
cs dana ga guna alami saldo hilang deteksi bayar koin tiktok transaksi daftar tiktok taut dana bayar google play bantu cs dana ga ga bantu kembali saldo nya hanya suruh konfirmasi pusat bantu google,negatif
dana jujur bantu aplikasi dompet digital oke bank e wallet aja bayar gampang cuman deh kadang ngelag nyaaa susah transfer tarik tunai loadingnya lama sorry yah udah mending i kasih bintang,positif
